	ATtiny20,Fullscan	fs-files:,Strahl,groß,,intensiv(???),Defl.6
micfs12.dat.txt,,,,0,,
micfs12.dat.txt,Ions:,37949	Latchups:,0	Latchups/Ion:,0,,
micfs13.dat.txt,Ions:,40014	Latchups:,17	Latchups/Ion:,0.000424851302044285,,
micfs14.dat.txt,Ions:,41251	Latchups:,46	Latchups/Ion:,0.00111512448183074,,
micfs15.dat.txt,Ions:,84584	Latchups:,55	Latchups/Ion:,0.000650241180365081,,
micfs21.dat.txt,Ions:,39782	Latchups:,5	Latchups/Ion:,0.000125684983158212,,
micfs22.dat.txt,Ions:,57332	Latchups:,17	Latchups/Ion:,0.000296518523686597,,
micfs23.dat.txt,Ions:,59278	Latchups:,1676	Latchups/Ion:,0.0282735584871284,,
micfs24.dat.txt,Ions:,57113	Latchups:,1959	Latchups/Ion:,0.0343004219704796,,
micfs25.dat.txt,Ions:,44411	Latchups:,94	Latchups/Ion:,0.00211659273603387,,
micfs31.dat.txt,Ions:,37955	Latchups:,0	Latchups/Ion:,0,,
micfs32.dat.txt,Ions:,41873	Latchups:,117	Latchups/Ion:,0.00279416330332195,,
micfs33.dat.txt,Ions:,40905	Latchups:,890	Latchups/Ion:,0.0217577313286884,,
micfs34.dat.txt,Ions:,59434	Latchups:,4172	Latchups/Ion:,0.0701955109869772,,
micfs35.dat.txt,Ions:,146803	Latchups:,15080	Latchups/Ion:,0.102722696402662,,
micfs41.dat.txt,Ions:,31965	Latchups:,0	Latchups/Ion:,0,,
micfs42.dat.txt,Ions:,41137	Latchups:,909	Latchups/Ion:,0.0220968957386295,,
micfs43.dat.txt,Ions:,41366	Latchups:,1972	Latchups/Ion:,0.0476720011603733,,
micfs44.dat.txt,Ions:,74412	Latchups:,4529	Latchups/Ion:,0.060863839165726,,
micfs45.dat.txt,Ions:,118757	Latchups:,13399	Latchups/Ion:,0.112827033353823,,
micfs51.dat.txt,Ions:,36006	Latchups:,0	Latchups/Ion:,0,,
micfs52.dat.txt,Ions:,42307	Latchups:,0	Latchups/Ion:,0,,
micfs53.dat.txt,Ions:,49858	Latchups:,137	Latchups/Ion:,0.00274780376268603,,
micfs54.dat.txt,Ions:,58715	Latchups:,684	Latchups/Ion:,0.0116494933151665,,
micfs55.dat.txt,Ions:,49299	Latchups:,168	Latchups/Ion:,0.00340777703401692,,
,,,,,,
,,,,,,
,,,,,,
,,,,0.0210415175686719,,
